      "time",       "y_0",       "y_1",       "y_2",   "counter","qtronic.silver.real_time","qtronic.silver.allow_non_virtual_can","qtronic.silver.env.PROCESSOR_LEVEL","qtronic.silver.env.NUMBER_OF_PROCESSORS","qtronic.silver.env.EulerSteps","qtronic.silver.env.Timestep","qtronic.silver.macro_step","qtronic.silver.version.sp","qtronic.silver.version.minor","qtronic.silver.version.major","qtronic.silver.internal.stepDisabled","qtronic.silver.internal.pauseDisabled"
         0,         0,         0,         0,         0,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.01,         0,         1,         2,         1,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.02,0.0099993333,         1,         2,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.03,0.019994667, 1.0197987,         2,         3,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.04,0.029982003, 1.0197987,         2,         4,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.05,0.039957347, 1.0391894, 2.0341936,         5,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.06,0.049916708, 1.0391894, 2.0341936,         6,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.07,0.059856104, 1.0581645, 2.0341936,         7,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.08,0.069771557, 1.0581645, 2.0341936,         8,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.09,0.079659103, 1.0767164,  2.056783,         9,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       0.1,0.089514787, 1.0767164,  2.056783,        10,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.11,0.099334665, 1.0948376,  2.056783,        11,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.12,0.10911481, 1.0948376,  2.056783,        12,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.13,0.11885131, 1.1125208, 2.0678573,        13,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.14,0.12854028, 1.1125208, 2.0678573,        14,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.15,0.13817782, 1.1297591, 2.0678573,        15,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.16, 0.1477601, 1.1297591, 2.0678573,        16,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.17,0.15728328, 1.1465455, 2.0676065,        17,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.18,0.16674355, 1.1465455, 2.0676065,        18,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.19,0.17613712, 1.1628733, 2.0676065,        19,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       0.2,0.18546023, 1.1628733, 2.0676065,        20,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.21,0.19470917, 1.1787359, 2.0563185,        21,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.22,0.20388023, 1.1787359, 2.0563185,        22,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.23,0.21296973, 1.1941271, 2.0563185,        23,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.24,0.22197405, 1.1941271, 2.0563185,        24,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.25,0.23088959, 1.2090406, 2.0343762,        25,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.26,0.23971277, 1.2090406, 2.0343762,        26,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
