    "time",    "TRes"
         0,    293.15
      0.02, 293.34967
      0.04, 293.54884
      0.06, 293.74746
      0.08, 293.94552
       0.1, 294.14303
      0.12,    294.34
      0.14, 294.53642
      0.16, 294.73229
      0.18, 294.92762
       0.2, 295.12241
      0.22, 295.31666
      0.24, 295.51037
      0.26, 295.70355
      0.28, 295.89619
       0.3,  296.0883
      0.32, 296.27988
      0.34, 296.47093
      0.36, 296.66146
      0.38, 296.85145
       0.4, 297.04093
      0.42, 297.22984
      0.44, 297.41826
      0.46, 297.60617
      0.48, 297.79356
       0.5, 297.98044
      0.52, 298.16681
      0.54, 298.35266
      0.56,   298.538
      0.58, 298.72283
       0.6, 298.90715
      0.62, 299.09097
      0.64, 299.14187
      0.66,  299.1299
      0.68, 299.11795
       0.7, 299.10603
      0.72, 299.09413
      0.74, 299.08225
      0.76,  299.0704
      0.78, 299.05857
       0.8, 299.04676
      0.82, 299.03498
      0.84, 299.02322
      0.86, 299.01149
      0.88, 298.99978
       0.9, 298.98809
      0.92, 298.97643
      0.94, 298.96478
      0.96, 298.95317
      0.98, 298.94157
         1,    298.93
      1.02, 298.91845
      1.04, 298.90693
      1.06, 298.89542
      1.08, 298.88395
       1.1, 298.87249
      1.12, 298.86106
      1.14, 298.84964
      1.16, 298.83826
      1.18, 298.82689
       1.2, 298.81555
      1.22, 298.80423
      1.24, 298.79293
      1.26, 298.78166
      1.28, 298.77041
       1.3, 298.75918
      1.32, 298.74797
      1.34, 298.73678
      1.36, 298.72562
      1.38, 298.71448
       1.4, 298.70336
      1.42, 298.69227
      1.44, 298.68119
      1.46, 298.67014
      1.48, 298.65911
       1.5, 298.64811
      1.52, 298.63712
      1.54, 298.62616
      1.56, 298.61522
      1.58,  298.6043
       1.6,  298.5934
      1.62, 298.58252
      1.64, 298.57167
      1.66, 298.56084
      1.68, 298.55003
       1.7, 298.53924
      1.72, 298.52847
      1.74, 298.51772
      1.76,   298.507
      1.78,  298.4963
       1.8, 298.48561
      1.82, 298.47495
      1.84, 298.46431
      1.86,  298.4537
      1.88,  298.4431
       1.9, 298.43252
      1.92, 298.42197
      1.94, 298.41144
      1.96, 298.40092
      1.98, 298.39043
         2, 298.37996
      2.02, 298.36951
      2.04, 298.35908
      2.06, 298.34868
      2.08, 298.33829
       2.1, 298.32792
      2.12, 298.31758
      2.14, 298.30725
      2.16, 298.29695
      2.18, 298.28666
       2.2,  298.2764
      2.22, 298.26616
      2.24, 298.25594
      2.26, 298.24573
      2.28, 298.40537
       2.3, 298.59055
      2.32, 298.77524
      2.34, 298.95941
      2.36, 299.14309
      2.38, 299.32626
       2.4, 299.50892
      2.42, 299.69109
      2.44, 299.87276
      2.46, 300.05393
      2.48,  300.2346
       2.5, 300.41478
      2.52, 300.59446
      2.54, 300.77365
      2.56, 300.95235
      2.58, 301.13057
       2.6, 301.30829
      2.62, 301.48553
      2.64, 301.66229
      2.66, 301.83856
      2.68, 301.94941
       2.7, 301.93183
      2.72, 301.91429
      2.74, 301.89678
      2.76,  301.8793
      2.78, 301.86186
       2.8, 301.84445
      2.82, 301.82708
      2.84, 301.80975
      2.86, 301.79244
      2.88, 301.77518
       2.9, 301.75794
      2.92, 301.74074
      2.94, 301.72358
      2.96, 301.70645
      2.98, 301.68935
         3, 301.67229
      3.02, 301.65526
      3.04, 301.63827
      3.06, 301.62131
      3.08, 301.69236
       3.1, 301.86855
      3.12, 302.04426
      3.14, 302.21949
      3.16, 302.39424
      3.18, 302.56852
       3.2, 302.74232
      3.22, 302.91565
      3.24, 303.08851
      3.26, 303.26089
      3.28, 303.43281
       3.3, 303.60426
      3.32, 303.77524
      3.34, 303.94575
      3.36, 304.11581
      3.38,  304.2854
       3.4, 304.45453
      3.42,  304.6232
      3.44, 304.79141
      3.46, 304.95917
      3.48, 305.12647
       3.5, 305.29332
      3.52, 305.45972
      3.54, 305.48947
      3.56, 305.46483
      3.58, 305.44023
       3.6, 305.41567
      3.62, 305.39116
      3.64, 305.36671
      3.66,  305.3423
      3.68, 305.31794
       3.7, 305.29363
      3.72, 305.26936
      3.74, 305.24515
      3.76, 305.22098
      3.78, 305.19686
       3.8, 305.17279
      3.82, 305.14877
      3.84,  305.1248
      3.86, 305.10087
      3.88,   305.077
       3.9, 305.07724
      3.92, 305.24414
      3.94, 305.41065
      3.96, 305.57672
      3.98, 305.74234
         4, 305.90752
      4.02, 306.07225
      4.04, 306.23654
      4.06, 306.40038
      4.08, 306.56378
       4.1, 306.72674
      4.12, 306.88925
      4.14, 307.05133
      4.16, 307.21297
      4.18, 307.37417
       4.2, 307.53494
      4.22, 307.69527
      4.24, 307.85517
      4.26, 308.01464
      4.28, 308.17368
       4.3, 308.33229
      4.32, 308.49047
      4.34, 308.64823
      4.36, 308.80556
      4.38, 308.96247
       4.4, 309.11896
      4.42, 309.16712
      4.44, 309.13513
      4.46, 309.10319
      4.48, 309.07132
       4.5, 309.03951
      4.52, 309.00776
      4.54, 308.97608
      4.56, 308.94446
      4.58,  308.9129
       4.6,  308.8814
      4.62, 308.84997
      4.64,  308.8186
      4.66,  308.7873
      4.68, 308.75605
       4.7, 308.72487
      4.72, 308.69375
      4.74,  308.6627
      4.76, 308.66187
      4.78,  308.8191
       4.8, 308.97595
      4.82, 309.13239
      4.84, 309.28841
