    "time",  "iAC[1]",  "iAC[2]",  "iAC[3]",  "Losses",  "uAC[1]",  "uAC[2]",  "uAC[3]",     "uDC"
         0,         0,         0,         0,       480,         0,         0,         0, 565.68542
    0.0002,0.061466535,-1.0496424,0.98817584, 789.42791, 312.23791,-563.00922, 250.77131, 559.00831
    0.0004, 0.1227459,-6.7380933, 6.6153475, 799.31494, 339.56327,-556.38053, 216.81726, 552.36829
    0.0006,0.18354083, -15.96524, 15.781699, 827.85501, 366.70175,-549.86247, 183.16073, 545.83183
    0.0008,0.24361142,-24.853842, 24.610231, 859.41717, 393.54014,-543.46862, 149.92848, 539.42024
     0.001,0.30272059,-29.590374, 29.287654, 877.93917, 419.94108,-537.16128, 117.22019, 533.10347
    0.0012,0.36063505,-26.523872, 26.163236, 867.69727, 445.74431,-530.85321, 85.108899, 526.80158
    0.0014,0.41712625,-12.260735, 11.843609, 814.58547, 470.76866,-524.41065,  53.64199, 520.38759
    0.0016,0.44994767,-0.92363162,0.47368395, 744.16826, 483.84926, -495.7174, 11.868143, 513.75004
    0.0018,0.49151941,-0.93570455,0.44418513, 736.58408,  501.2981,-477.63096, -23.66714, 507.07594
     0.002,  6.449094,-6.8476631,0.39856911, 734.15511, 504.42945,-451.49948,-52.929969, 500.41716
    0.0022, 43.871809, -44.21339,0.34158105,  850.5411, 498.12233,-419.85186,-78.270468, 494.03524
    0.0024, 111.86389,-112.14713,0.28324493, 1111.4201, 492.58422,-387.91472,-104.66951,  488.3612
    0.0026,  205.3043,-205.52809,0.22379096, 1518.1121, 488.17907,-355.98513,-132.19394, 483.76921
    0.0028, 318.45846,-318.62191, 0.1634538, 2069.7211, 485.19704, -324.3255,-160.87154, 480.56093
     0.003, 445.12202,-445.22449,0.10247156, 2757.7155, 483.84757,-293.15961,-190.68795, 478.95819
    0.0032, 578.77172,-578.81281,0.041084909, 3561.7607, 484.25412,-262.66953,-221.58458,  479.0975
    0.0034, 712.73044,-712.70998,-0.020463883, 4447.4164, 486.45216,-232.99413,-253.45803, 481.02769
    0.0036, 840.32449,-840.24256,-0.081931914, 5365.9293, 490.38806,-204.22803,-286.16003, 484.70847
    0.0038, 955.04578, -954.9027,-0.1430766,  6256.313, 495.92075,-176.42201,-319.49875, 490.01179
     0.004,  1050.716,-1050.5123,-0.20365662, 7049.5864, 502.82389,-149.58353,-353.24036, 496.72367
    0.0042, 1121.6331,-1121.3696,-0.26343291, 7674.6716, 510.79359,-123.68021,-387.11338, 504.55161
