      time;        p0;        p1;        p2;        p3;        p4;        p5;        p6;        x0;        x1;        x2;        x3;        x4;        x5;        x6;        x7;        x8;        x9;       x10;indicators.z[0];solver.numSteps;solver.minStepSize;solver.maxStepSize;solver.minOrder;solver.maxOrder;solver.numStateEvents;solver.numTimeEvents;    p0_ref;    p1_ref;    p2_ref;    p3_ref;    p4_ref;    p5_ref;    p6_ref;    x0_ref;    x1_ref;    x2_ref;    x3_ref;    x4_ref;    x5_ref;    x6_ref;    x7_ref;    x8_ref;    x9_ref;   x10_ref;qtronic.silver.allow_non_virtual_can;qtronic.silver.env.PROCESSOR_LEVEL;qtronic.silver.env.NUMBER_OF_PROCESSORS;qtronic.silver.real_time;qtronic.silver.env.Timestep;qtronic.silver.macro_step;qtronic.silver.version.sp;qtronic.silver.version.minor;qtronic.silver.version.major;qtronic.silver.internal.stepDisabled;qtronic.silver.internal.pauseDisabled
         0;       275;       0.1;         4;       0.4;       2.5;     0.017;       0.6;         0;         0;      4900;         4;       140;         0;         0;         0;         0;        35;        35;         1;         0;         0;         0;         0;         0;         0;         0;       275;       0.1;         4;       0.4;       2.5;     0.017;       0.6;         0;         0;      4900;         4;       140;         0;         0;         0;         0;        35;        35;         0;         6;         2;         0;     0.003;     0.003;         0;         0;1.4821969e-323;         0;         0
     0.003;       275;       0.1;         4;       0.4;       2.5;     0.017;       0.6;  1.518565;0.50894947; 4967.1872;   3.99568;       140; 9.3455246; 58.768105;0.26723672; 1.6804831; 34.970959; 35.479909;        -1;        59;5.0507627e-010;0.0001978911;         0;         5;         1;         0;       275;       0.1;         4;       0.4;       2.5;     0.017;       0.6;    1.4926;  0.509058;   4967.36;   3.99568;       140;   9.18725;    58.778;  0.262702;   1.68071;   34.9721;   35.4812;         0;         6;         2;         0;     0.003;     0.003;         0;         0;1.4821969e-323;         0;         0
     0.006;       275;       0.1;         4;       0.4;       2.5;     0.017;       0.6; 3.2003868;0.50909142; 4962.1214;   3.99136;       140; 19.678811; 58.717527;0.56330377; 1.6807827; 34.934633; 35.443724;        -1;        67;7.6760791e-005;0.00061408633;         2;         5;         1;         0;       275;       0.1;         4;       0.4;       2.5;     0.017;       0.6;   3.17455;  0.509091;   4962.28;   3.99136;       140;   19.5206;   58.7194;  0.558757;   1.68078;   34.9358;   35.4449;         0;         6;         2;         0;     0.003;     0.003;         0;         0;1.4821969e-323;         0;         0
     0.009;       275;       0.1;         4;       0.4;       2.5;     0.017;       0.6; 4.8796779;0.50909085; 4957.0419;   3.98704;       140; 29.973396; 58.656504;0.85887713; 1.6807815; 34.898351; 35.407442;        -1;        70;0.0003901331;0.0015605324;         2;         2;         1;         0;       275;       0.1;         4;       0.4;       2.5;     0.017;       0.6;   4.85396;  0.509091;    4957.2;   3.98704;       140;   29.8164;   58.6584;   0.85435;   1.68078;   34.8995;   35.4086;         0;         6;         2;         0;     0.003;     0.003;         0;         0;1.4821969e-323;         0;         0
     0.012;       275;       0.1;         4;       0.4;       2.5;     0.017;       0.6; 6.5564056;0.50909092; 4951.9673;   3.98272;       140; 40.230861; 58.595585; 1.1539998; 1.6807816; 34.862104; 35.371195;        -1;        72;0.00065920137;0.0013184027;         2;         2;         1;         0;       275;       0.1;         4;       0.4;       2.5;     0.017;       0.6;   6.53079;  0.509091;   4952.13;   3.98272;       140;    40.075;   58.5975;   1.14949;   1.68078;   34.8632;   35.3723;         0;         6;         2;         0;     0.003;     0.003;         0;         0;1.4821969e-323;         0;         0
     0.015;       275;       0.1;         4;       0.4;       2.5;     0.017;       0.6; 8.2305734;0.50909091; 4946.8976;    3.9784;       140; 50.451287;  58.53472; 1.4486718; 1.6807816; 34.825892; 35.334983;        -1;        73;0.0016815973;0.0016815973;         2;         2;         1;         0;       275;       0.1;         4;       0.4;       2.5;     0.017;       0.6;   8.20507;  0.509091;   4947.06;    3.9784;       140;   50.2966;   58.5366;   1.44418;   1.68078;    34.827;   35.3361;         0;         6;         2;         0;     0.003;     0.003;         0;         0;1.4821969e-323;         0;         0
     0.018;       275;       0.1;         4;       0.4;       2.5;     0.017;       0.6; 9.9021837;0.50909091; 4941.8327;   3.97408;       140; 60.634772; 58.473912; 1.7428937; 1.6807816; 34.789714; 35.298805;        -1;        74;     0.003;     0.003;         2;         2;         1;         0;       275;       0.1;         4;       0.4;       2.5;     0.017;       0.6;   9.87679;  0.509091;   4941.99;   3.97408;       140;   60.4812;   58.4758;   1.73842;   1.68078;   34.7908;   35.2999;         0;         6;         2;         0;     0.003;     0.003;         0;         0;1.4821969e-323;         0;         0
     0.021;       275;       0.1;         4;       0.4;       2.5;     0.017;       0.6;  11.57124;0.50909091; 4936.7726;   3.96976;       140; 70.781412; 58.413163; 2.0366659; 1.6807816; 34.753571; 35.262661;        -1;        75;     0.003;     0.003;         2;         2;         1;         0;       275;       0.1;         4;       0.4;       2.5;     0.017;       0.6;    11.546;  0.509091;   4936.93;   3.96976;       140;    70.629;    58.415;   2.03221;   1.68078;   34.7547;   35.2638;         0;         6;         2;         0;     0.003;     0.003;         0;         0;1.4821969e-323;         0;         0
     0.024;       275;       0.1;         4;       0.4;       2.5;     0.017;       0.6; 13.237744;0.50909091; 4931.7174;   3.96544;       140; 80.891304; 58.352472;  2.329989; 1.6807816; 34.717462; 35.226553;        -1;        76;     0.003;     0.003;         2;         2;         1;         0;       275;       0.1;         4;       0.4;       2.5;     0.017;       0.6;   13.2126;  0.509091;   4931.87;   3.96544;       140;     80.74;   58.3544;   2.32556;   1.68078;   34.7186;   35.2277;         0;         6;         2;         0;     0.003;     0.003;         0;         0;1.4821969e-323;         0;         0
     0.027;       275;       0.1;         4;       0.4;       2.5;     0.017;       0.6; 14.901699;0.50909091; 4926.6669;   3.96112;       140; 90.964545; 58.291838; 2.6228635; 1.6807816; 34.681387; 35.190478;        -1;        77;     0.003;     0.003;         2;         2;         1;         0;       275;       0.1;         4;       0.4;       2.5;     0.017;       0.6;   14.8766;  0.509091;   4926.82;   3.96112;       140;   90.8144;   58.2937;   2.61845;   1.68078;   34.6825;   35.1916;         0;         6;         2;         0;     0.003;     0.003;         0;         0;1.4821969e-323;         0;         0
      0.03;       275;       0.1;         4;       0.4;       2.5;     0.017;       0.6; 16.563108;0.50909091; 4921.6213;    3.9568;       140; 101.00123; 58.231263; 2.9152899; 1.6807816; 34.645347; 35.154438;        -1;        78;     0.003;     0.003;         2;         2;         1;         0;       275;       0.1;         4;       0.4;       2.5;     0.017;       0.6;   16.5381;  0.509091;   4921.78;    3.9568;       140;   100.852;   58.2331;    2.9109;   1.68078;   34.6465;   35.1555;         0;         6;         2;         0;     0.003;     0.003;         0;         0;1.4821969e-323;         0;         0
     0.033;       275;       0.1;         4;       0.4;       2.5;     0.017;       0.6; 18.221974;0.50909091; 4916.5806;   3.95248;       140; 111.00145; 58.170746; 3.2072686; 1.6807816; 34.609342; 35.118433;        -1;        79;     0.003;     0.003;         2;         2;         1;         0;       275;       0.1;         4;       0.4;       2.5;     0.017;       0.6;   18.1971;  0.509091;   4916.74;   3.95248;       140;   110.854;   58.1726;   3.20289;   1.68078;   34.6104;   35.1195;         0;         6;         2;         0;     0.003;     0.003;         0;         0;1.4821969e-323;         0;         0
     0.036;       275;       0.1;         4;       0.4;       2.5;     0.017;       0.6; 19.878299;0.50909091; 4911.5446;   3.94816;       140; 120.96531; 58.110287; 3.4988001; 1.6807816; 34.573371; 35.082462;        -1;        80;     0.003;     0.003;         3;         3;         1;         0;       275;       0.1;         4;       0.4;       2.5;     0.017;       0.6;   19.8535;  0.509091;    4911.7;   3.94816;       140;   120.819;   58.1121;   3.49444;   1.68078;   34.5745;   35.0836;         0;         6;         2;         0;     0.003;     0.003;         0;         0;1.4821969e-323;         0;         0
