"time","accelPedal","brakePedal","k15","k50","prnd","roadInclination","nAtIn","nAtOut","qtronic_silver_real_time","valves_mv1","valves_mv2","valves_mv3","valves_eds","valves_eds1","valves_eds2","valves_eds3","valves_eds4","valves_eds5","egsCarSpeed","egsState","egsGear","egsTargetGear","tShiftStart","solver.numSteps","solver.minStepSize","solver.maxStepSize","solver.minOrder","solver.maxOrder","solver.numStateEvents","solver.numTimeEvents","qtronic.silver.real_time","qtronic.silver.allow_non_virtual_can","qtronic.silver.env.PROCESSOR_LEVEL","qtronic.silver.env.NUMBER_OF_PROCESSORS","qtronic.silver.env.EulerSteps","qtronic.silver.env.Timestep","qtronic.silver.macro_step","qtronic.silver.version.sp","qtronic.silver.version.minor","qtronic.silver.version.major","qtronic.silver.internal.stepDisabled","qtronic.silver.internal.pauseDisabled"
         0,         0,         0,         1,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.01,         0,         0,         1,         0,         0,         0,-9.3051269e-062,4.7832501e-064,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         2,        -2,         0,3.4322591e-007,         4,         0,0.0034321707,         0,         1,         1,         0,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.02,         0,         0,         1,         0,         0,         0,-9.978955e-062,8.5781988e-064,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,2.2371057e-065,         2,        -2,         0,3.4322591e-007,         8,         0,0.0065671428,         0,         1,         1,         1,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.03,         0,         0,         1,         0,         0,         0,-1.2148035e-061,5.0722952e-064,         0,         0,         0,         0,         0,         0,      0.04,      0.04,         0,         0,4.0119871e-065,         2,        -2,         0,3.4322591e-007,        12,         0,0.0059176868,         0,         1,         1,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.04,         0,         0,         1,         0,         0,         0,-1.2715386e-061,8.3143539e-064,         0,         0,         0,         0,         0,         0,      0.06,      0.06,         0,         0,2.3722909e-065,         2,        -2,         0,3.4322591e-007,        16,         0,0.0054822144,         0,         1,         1,         3,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.05,         0,         0,         1,         0,         0,         0,-1.2596581e-061,5.253801e-064,         0,         0,         0,         0,         0,         0,      0.08,      0.08,         0,         0,3.888588e-065,         2,        -2,         0,3.4322591e-007,        20,         0,0.005145349,         0,         1,         1,         4,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.06,         0,         0,         1,         0,         0,         0,-1.2326313e-061,-1.4402082e-064,         0,         0,         0,         0,         0,         0,       0.1,       0.1,         0,         0,2.4571804e-065,         2,        -2,         0,3.4322591e-007,        24,         0,0.0053716375,         0,         1,         1,         5,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.07,         0,         0,         1,         0,         0,         0,-1.2311671e-061,-1.8196543e-064,         0,         0,         0,         0,         0,         0,      0.12,      0.12,         0,         0,-6.7357925e-066,         2,        -2,         0,3.4322591e-007,        28,         0,0.0055826884,         0,         1,         1,         6,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.08,         0,         0,         1,         0,         0,         0,-1.3145963e-061,-2.879109e-063,         0,         0,         0,         0,         0,         0,      0.14,      0.14,         0,         0,-8.5104458e-066,         2,        -2,         0,3.4322591e-007,        32,         0,0.0057722001,         0,         1,         1,         7,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.09,         0,         0,         1,         0,         0,         0,-1.056274e-061,-4.6937083e-065,         0,         0,         0,         0,         0,         0,      0.16,      0.16,         0,         0,-1.346547e-064,         2,        -2,         0,3.4322591e-007,        36,         0,0.0059446941,         0,         1,         1,         8,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
