"time","onOffController.reference","temperatureSensor.T","controlledTemperature1.temperatureSensor_T_res","qtronic.silver.allow_non_virtual_can","qtronic.silver.env.PROCESSOR_LEVEL","qtronic.silver.env.NUMBER_OF_PROCESSORS","qtronic.silver.env.EulerSteps","qtronic.silver.real_time","qtronic.silver.env.Timestep","qtronic.silver.macro_step","qtronic.silver.version.sp","qtronic.silver.version.minor","qtronic.silver.version.major","qtronic.silver.internal.stepDisabled","qtronic.silver.internal.pauseDisabled"
         0,        25,        20,        20,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.001,        25, 20.009999,     20.01,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.002,        25, 20.019996, 20.019999,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.003,        25, 20.029992, 20.029997,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.004,        25, 20.039987, 20.039994,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.005,        25, 20.049981,  20.04999,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.006,        25, 20.059973, 20.059985,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.007,        25, 20.069964, 20.069979,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.008,        25, 20.079954, 20.079972,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.009,        25, 20.089942, 20.089964,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
      0.01,        25, 20.099929, 20.099955,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.011,        25, 20.109914, 20.109945,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.012,        25, 20.119898, 20.119934,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.013,        25, 20.129881, 20.129922,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.014,        25, 20.139862, 20.139909,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.015,        25, 20.149842, 20.149895,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.016,        25,  20.15982,  20.15988,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.017,        25, 20.169797, 20.169864,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.018,        25, 20.179773, 20.179847,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.019,        25, 20.189747, 20.189829,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
      0.02,        25,  20.19972,  20.19981,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.021,        25, 20.209692,  20.20979,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.022,        25, 20.219662, 20.219769,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.023,        25,  20.22963, 20.229747,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.024,        25, 20.239598, 20.239724,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.025,        25, 20.249564,   20.2497,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.026,        25, 20.259528, 20.259675,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.027,        25, 20.269491, 20.269649,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.028,        25, 20.279453, 20.279622,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.029,        25, 20.289414, 20.289594,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
      0.03,        25, 20.299373, 20.299565,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.031,        25,  20.30933, 20.309535,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.032,        25, 20.319286, 20.319504,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.033,        25, 20.329241, 20.329472,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.034,        25, 20.339195, 20.339439,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.035,        25, 20.349147, 20.349405,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.036,        25, 20.359097,  20.35937,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.037,        25, 20.369047, 20.369334,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.038,        25, 20.378995, 20.379297,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.039,        25, 20.388941, 20.389259,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
      0.04,        25, 20.398886,  20.39922,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.041,        25,  20.40883,  20.40918,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.042,        25, 20.418773, 20.419139,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.043,        25, 20.428714, 20.429097,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.044,        25, 20.438653, 20.439054,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.045,        25, 20.448592, 20.449011,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.046,        25, 20.458528, 20.458966,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.047,        25, 20.468464,  20.46892,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.048,        25, 20.478398, 20.478873,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.049,        25, 20.488331, 20.488825,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
      0.05,        25, 20.498262, 20.498776,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.051,        25, 20.508192, 20.508726,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.052,        25, 20.518121, 20.518675,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.053,        25, 20.528048, 20.528623,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.054,        25, 20.537974,  20.53857,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.055,        25, 20.547898, 20.548517,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.056,        25, 20.557821, 20.558462,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
     0.057,        25, 20.567743, 20.568406,         0,         6,         2,        10,         0,     0.001,     0.001,         0,         0,1.4821969e-323,         0,         0
