    "time",  "iAC[1]",  "iAC[2]",  "iAC[3]",  "Losses",  "uAC[1]",  "uAC[2]",  "uAC[3]",     "uDC"
         0,         0,         0,         0,       480,         0,         0,         0, 565.68542
    0.0002,0.061466539,-1.0491221,0.98765561, 789.42587, 312.23792,-563.00924, 250.77132, 559.00833
    0.0004, 0.1227459,-6.7376208, 6.6148749, 799.31275, 339.56322,-556.38042,  216.8172, 552.36818
    0.0006,0.18354083,-15.965286, 15.781745, 827.85283, 366.70131,-549.86161,  183.1603, 545.83096
    0.0008,0.24361142,-24.856688, 24.613077, 859.42519, 393.53947,-543.46727,  149.9278, 539.41889
     0.001,0.30272058,-29.598568, 29.295847, 877.96767, 419.94011,-537.15933, 117.21922, 533.10151
    0.0012,0.36063505,-26.538207, 26.177572, 867.75031, 445.74322,-530.85103, 85.107811, 526.79938
    0.0014,0.41712625,-12.280421, 11.863295,  814.6595, 470.76759,-524.40852, 53.640923, 520.38542
    0.0016,0.44994973,-0.92363575,0.47368602,   744.166, 483.84928,-495.71742, 11.868143, 513.74801
    0.0018,0.49152144,-0.93570861,0.44418716, 736.58186,  501.2981,-477.63096,-23.667142, 507.07391
     0.002, 6.4501349, -6.848704,0.39856911, 734.15452, 504.42754,-451.49853,-52.929018, 500.41525
    0.0022, 43.872154,-44.213735,0.34158105, 850.53678,    498.12, -419.8507,-78.269304, 494.03291
    0.0024, 111.86226, -112.1455,0.28324493, 1111.4058, 492.58134,-387.91327,-104.66807, 488.35832
    0.0026, 205.31199,-205.53578,0.22379096, 1518.1432, 488.17659,-355.98389, -132.1927, 483.76672
    0.0028,  318.4612,-318.62465, 0.1634538, 2069.7256,  485.1929,-324.32343,-160.86947, 480.55678
     0.003, 445.12487,-445.22734,0.10247156, 2757.7168, 483.84127,-293.15647, -190.6848, 478.95189
    0.0032, 578.78896,-578.83005,0.041084907, 3561.8518, 484.24673,-262.66584,-221.58089, 479.09008
    0.0034, 712.77609,-712.75563,-0.020463886, 4447.6833, 486.43321,-232.98465,-253.44856, 481.00865
    0.0036, 840.43779,-840.35585,-0.081931914, 5366.6718, 490.35057,-204.20929,-286.14128, 484.67075
    0.0038, 955.29001,-955.14693,-0.1430766, 6258.0814, 495.86353,-176.39339,-319.47013, 489.95408
     0.004, 1051.1591,-1050.9555,-0.20365662, 7053.0362, 502.75008,-149.54663,-353.20346, 496.64897
    0.0042, 1122.3361,-1122.0727,-0.26343291, 7680.4191, 510.70805,-123.63744,-387.07061, 504.46466
    0.0044, 1163.7214,-1163.3993,-0.32216955,  8073.942, 519.36363,-98.596879,-420.76675, 513.03755
    0.0046,  1170.953,-1170.5733,-0.37963473, 8179.6172,  528.2812,-74.323043,-453.95816, 521.94073
    0.0048, 1140.5152,-1140.0796,-0.43560167, 7962.8229, 536.97422,-50.686055,-486.28816, 530.69469
     0.005, 1069.8278,-1069.3379,-0.48984949, 7414.1742,  544.9173,-27.533661,-517.38364, 538.77922
    0.0052, 957.31318,-956.77101,-0.54216409, 6553.4958, 551.55925, -4.697309,-546.86194, 545.64627
    0.0054, 810.84604,-792.63987,-18.206168, 5442.7626,    556.36,-0.77443293,-555.58556, 550.75762
    0.0056,  646.9727,-562.23003,-84.742672, 4253.1116, 558.99726,-0.47748688,-558.51977, 553.78917
