    "time",    "TRes"
         0,    293.15
    0.0001,   293.151
    0.0002,   293.152
    0.0003,   293.153
    0.0004,   293.154
    0.0005,   293.155
    0.0006,   293.156
    0.0007,   293.157
    0.0008,   293.158
    0.0009,   293.159
     0.001,    293.16
    0.0011,   293.161
    0.0012,   293.162
    0.0013,   293.163
    0.0014,   293.164
    0.0015,   293.165
    0.0016,   293.166
    0.0017,   293.167
    0.0018,   293.168
    0.0019,   293.169
     0.002,    293.17
    0.0021,   293.171
    0.0022,   293.172
    0.0023,   293.173
    0.0024,   293.174
    0.0025,   293.175
    0.0026,   293.176
    0.0027, 293.17699
    0.0028, 293.17799
    0.0029, 293.17899
     0.003, 293.17999
    0.0031, 293.18099
    0.0032, 293.18199
    0.0033, 293.18299
    0.0034, 293.18399
    0.0035, 293.18499
    0.0036, 293.18599
    0.0037, 293.18699
    0.0038, 293.18799
    0.0039, 293.18899
     0.004, 293.18999
    0.0041, 293.19099
    0.0042, 293.19199
    0.0043, 293.19299
    0.0044, 293.19399
    0.0045, 293.19499
    0.0046, 293.19599
    0.0047, 293.19698
    0.0048, 293.19798
    0.0049, 293.19898
     0.005, 293.19998
    0.0051, 293.20098
    0.0052, 293.20198
    0.0053, 293.20298
    0.0054, 293.20398
    0.0055, 293.20498
    0.0056, 293.20598
    0.0057, 293.20698
    0.0058, 293.20798
    0.0059, 293.20898
     0.006, 293.20997
    0.0061, 293.21097
    0.0062, 293.21197
    0.0063, 293.21297
    0.0064, 293.21397
    0.0065, 293.21497
    0.0066, 293.21597
    0.0067, 293.21697
    0.0068, 293.21797
    0.0069, 293.21897
     0.007, 293.21997
    0.0071, 293.22096
    0.0072, 293.22196
    0.0073, 293.22296
    0.0074, 293.22396
    0.0075, 293.22496
    0.0076, 293.22596
    0.0077, 293.22696
    0.0078, 293.22796
    0.0079, 293.22896
     0.008, 293.22996
    0.0081, 293.23095
    0.0082, 293.23195
    0.0083, 293.23295
    0.0084, 293.23395
    0.0085, 293.23495
    0.0086, 293.23595
    0.0087, 293.23695
    0.0088, 293.23795
    0.0089, 293.23894
     0.009, 293.23994
    0.0091, 293.24094
    0.0092, 293.24194
    0.0093, 293.24294
    0.0094, 293.24394
    0.0095, 293.24494
    0.0096, 293.24594
    0.0097, 293.24693
    0.0098, 293.24793
    0.0099, 293.24893
      0.01, 293.24993
    0.0101, 293.25093
    0.0102, 293.25193
    0.0103, 293.25293
    0.0104, 293.25392
    0.0105, 293.25492
    0.0106, 293.25592
    0.0107, 293.25692
    0.0108, 293.25792
    0.0109, 293.25892
     0.011, 293.25992
    0.0111, 293.26091
    0.0112, 293.26191
    0.0113, 293.26291
    0.0114, 293.26391
    0.0115, 293.26491
    0.0116, 293.26591
    0.0117,  293.2669
    0.0118,  293.2679
    0.0119,  293.2689
     0.012,  293.2699
    0.0121,  293.2709
    0.0122,  293.2719
    0.0123, 293.27289
    0.0124, 293.27389
    0.0125, 293.27489
    0.0126, 293.27589
    0.0127, 293.27689
    0.0128, 293.27789
    0.0129, 293.27888
     0.013, 293.27988
    0.0131, 293.28088
    0.0132, 293.28188
    0.0133, 293.28288
    0.0134, 293.28387
    0.0135, 293.28487
    0.0136, 293.28587
    0.0137, 293.28687
    0.0138, 293.28787
    0.0139, 293.28887
     0.014, 293.28986
    0.0141, 293.29086
    0.0142, 293.29186
    0.0143, 293.29286
    0.0144, 293.29386
    0.0145, 293.29485
    0.0146, 293.29585
    0.0147, 293.29685
    0.0148, 293.29785
    0.0149, 293.29885
     0.015, 293.29984
    0.0151, 293.30084
    0.0152, 293.30184
    0.0153, 293.30284
    0.0154, 293.30383
    0.0155, 293.30483
    0.0156, 293.30583
    0.0157, 293.30683
    0.0158, 293.30783
    0.0159, 293.30882
     0.016, 293.30982
    0.0161, 293.31082
    0.0162, 293.31182
    0.0163, 293.31281
    0.0164, 293.31381
    0.0165, 293.31481
    0.0166, 293.31581
    0.0167, 293.31681
    0.0168,  293.3178
    0.0169,  293.3188
     0.017,  293.3198
    0.0171,  293.3208
    0.0172, 293.32179
    0.0173, 293.32279
    0.0174, 293.32379
    0.0175, 293.32479
    0.0176, 293.32578
    0.0177, 293.32678
    0.0178, 293.32778
    0.0179, 293.32878
     0.018, 293.32977
    0.0181, 293.33077
    0.0182, 293.33177
    0.0183, 293.33277
    0.0184, 293.33376
    0.0185, 293.33476
    0.0186, 293.33576
    0.0187, 293.33676
    0.0188, 293.33775
    0.0189, 293.33875
     0.019, 293.33975
    0.0191, 293.34075
    0.0192, 293.34174
    0.0193, 293.34274
    0.0194, 293.34374
    0.0195, 293.34474
    0.0196, 293.34573
    0.0197, 293.34673
    0.0198, 293.34773
    0.0199, 293.34872
      0.02, 293.34972
    0.0201, 293.35072
    0.0202, 293.35172
    0.0203, 293.35271
    0.0204, 293.35371
    0.0205, 293.35471
    0.0206,  293.3557
    0.0207,  293.3567
    0.0208,  293.3577
    0.0209,  293.3587
     0.021, 293.35969
    0.0211, 293.36069
    0.0212, 293.36169
    0.0213, 293.36268
    0.0214, 293.36368
    0.0215, 293.36468
    0.0216, 293.36568
    0.0217, 293.36667
    0.0218, 293.36767
    0.0219, 293.36867
     0.022, 293.36966
    0.0221, 293.37066
    0.0222, 293.37166
    0.0223, 293.37265
    0.0224, 293.37365
    0.0225, 293.37465
    0.0226, 293.37564
    0.0227, 293.37664
    0.0228, 293.37764
    0.0229, 293.37863
     0.023, 293.37963
    0.0231, 293.38063
    0.0232, 293.38163
    0.0233, 293.38262
    0.0234, 293.38362
    0.0235, 293.38462
    0.0236, 293.38561
    0.0237, 293.38661
    0.0238, 293.38761
    0.0239,  293.3886
     0.024,  293.3896
    0.0241,  293.3906
    0.0242, 293.39159
    0.0243, 293.39259
    0.0244, 293.39359
    0.0245, 293.39458
    0.0246, 293.39558
    0.0247, 293.39658
    0.0248, 293.39757
    0.0249, 293.39857
     0.025, 293.39957
    0.0251, 293.40056
    0.0252, 293.40156
    0.0253, 293.40255
    0.0254, 293.40355
    0.0255, 293.40455
    0.0256, 293.40554
    0.0257, 293.40654
    0.0258, 293.40754
    0.0259, 293.40853
     0.026, 293.40953
    0.0261, 293.41053
    0.0262, 293.41152
    0.0263, 293.41252
    0.0264, 293.41352
    0.0265, 293.41451
    0.0266, 293.41551
    0.0267,  293.4165
    0.0268,  293.4175
    0.0269,  293.4185
     0.027, 293.41949
    0.0271, 293.42049
    0.0272, 293.42149
    0.0273, 293.42248
    0.0274, 293.42348
    0.0275, 293.42447
    0.0276, 293.42547
    0.0277, 293.42647
    0.0278, 293.42746
    0.0279, 293.42846
     0.028, 293.42945
    0.0281, 293.43045
    0.0282, 293.43145
    0.0283, 293.43244
    0.0284, 293.43344
    0.0285, 293.43443
    0.0286, 293.43543
    0.0287, 293.43643
    0.0288, 293.43742
    0.0289, 293.43842
     0.029, 293.43941
    0.0291, 293.44041
    0.0292, 293.44141
    0.0293,  293.4424
    0.0294,  293.4434
    0.0295, 293.44439
    0.0296, 293.44539
    0.0297, 293.44639
    0.0298, 293.44738
    0.0299, 293.44838
      0.03, 293.44937
    0.0301, 293.45037
    0.0302, 293.45137
    0.0303, 293.45236
    0.0304, 293.45336
    0.0305, 293.45435
    0.0306, 293.45535
    0.0307, 293.45634
    0.0308, 293.45734
    0.0309, 293.45834
     0.031, 293.45933
    0.0311, 293.46033
    0.0312, 293.46132
    0.0313, 293.46232
    0.0314, 293.46331
    0.0315, 293.46431
    0.0316, 293.46531
    0.0317,  293.4663
    0.0318,  293.4673
    0.0319, 293.46829
     0.032, 293.46929
    0.0321, 293.47028
    0.0322, 293.47128
    0.0323, 293.47227
    0.0324, 293.47327
    0.0325, 293.47427
    0.0326, 293.47526
    0.0327, 293.47626
    0.0328, 293.47725
    0.0329, 293.47825
     0.033, 293.47924
    0.0331, 293.48024
    0.0332, 293.48123
    0.0333, 293.48223
    0.0334, 293.48322
    0.0335, 293.48422
    0.0336, 293.48521
    0.0337, 293.48621
    0.0338, 293.48721
    0.0339,  293.4882
     0.034,  293.4892
    0.0341, 293.49019
    0.0342, 293.49119
    0.0343, 293.49218
    0.0344, 293.49318
    0.0345, 293.49417
    0.0346, 293.49517
    0.0347, 293.49616
    0.0348, 293.49716
    0.0349, 293.49815
     0.035, 293.49915
    0.0351, 293.50014
    0.0352, 293.50114
    0.0353, 293.50213
    0.0354, 293.50313
    0.0355, 293.50412
    0.0356, 293.50512
    0.0357, 293.50611
    0.0358, 293.50711
    0.0359,  293.5081
     0.036,  293.5091
    0.0361, 293.51009
    0.0362, 293.51109
    0.0363, 293.51208
    0.0364, 293.51308
    0.0365, 293.51407
    0.0366, 293.51507
    0.0367, 293.51606
    0.0368, 293.51706
    0.0369, 293.51805
     0.037, 293.51905
    0.0371, 293.52004
    0.0372, 293.52104
    0.0373, 293.52203
    0.0374, 293.52303
    0.0375, 293.52402
    0.0376, 293.52502
    0.0377, 293.52601
    0.0378, 293.52701
    0.0379,   293.528
     0.038,   293.529
    0.0381, 293.52999
    0.0382, 293.53099
    0.0383, 293.53198
    0.0384, 293.53297
    0.0385, 293.53397
    0.0386, 293.53496
    0.0387, 293.53596
    0.0388, 293.53695
    0.0389, 293.53795
     0.039, 293.53894
    0.0391, 293.53994
    0.0392, 293.54093
    0.0393, 293.54193
    0.0394, 293.54292
    0.0395, 293.54392
    0.0396, 293.54491
    0.0397,  293.5459
    0.0398,  293.5469
    0.0399, 293.54789
      0.04, 293.54889
    0.0401, 293.54988
    0.0402, 293.55088
    0.0403, 293.55187
    0.0404, 293.55287
    0.0405, 293.55386
    0.0406, 293.55485
    0.0407, 293.55585
    0.0408, 293.55684
    0.0409, 293.55784
     0.041, 293.55883
    0.0411, 293.55983
    0.0412, 293.56082
    0.0413, 293.56181
    0.0414, 293.56281
    0.0415,  293.5638
    0.0416,  293.5648
    0.0417, 293.56579
    0.0418, 293.56679
    0.0419, 293.56778
     0.042, 293.56877
    0.0421, 293.56977
    0.0422, 293.57076
    0.0423, 293.57176
    0.0424, 293.57275
    0.0425, 293.57374
    0.0426, 293.57474
    0.0427, 293.57573
    0.0428, 293.57673
    0.0429, 293.57772
     0.043, 293.57872
    0.0431, 293.57971
    0.0432,  293.5807
    0.0433,  293.5817
    0.0434, 293.58269
    0.0435, 293.58369
    0.0436, 293.58468
    0.0437, 293.58567
    0.0438, 293.58667
    0.0439, 293.58766
     0.044, 293.58865
    0.0441, 293.58965
    0.0442, 293.59064
    0.0443, 293.59164
    0.0444, 293.59263
    0.0445, 293.59362
    0.0446, 293.59462
    0.0447, 293.59561
    0.0448, 293.59661
    0.0449,  293.5976
     0.045, 293.59859
    0.0451, 293.59959
    0.0452, 293.60058
    0.0453, 293.60157
    0.0454, 293.60257
    0.0455, 293.60356
    0.0456, 293.60456
    0.0457, 293.60555
    0.0458, 293.60654
    0.0459, 293.60754
     0.046, 293.60853
    0.0461, 293.60952
    0.0462, 293.61052
    0.0463, 293.61151
    0.0464,  293.6125
    0.0465,  293.6135
    0.0466, 293.61449
    0.0467, 293.61548
    0.0468, 293.61648
    0.0469, 293.61747
     0.047, 293.61847
    0.0471, 293.61946
    0.0472, 293.62045
    0.0473, 293.62145
    0.0474, 293.62244
    0.0475, 293.62343
    0.0476, 293.62443
    0.0477, 293.62542
    0.0478, 293.62641
    0.0479, 293.62741
     0.048,  293.6284
    0.0481, 293.62939
    0.0482, 293.63039
    0.0483, 293.63138
    0.0484, 293.63237
    0.0485, 293.63337
    0.0486, 293.63436
    0.0487, 293.63535
    0.0488, 293.63635
    0.0489, 293.63734
     0.049, 293.63833
    0.0491, 293.63933
    0.0492, 293.64032
    0.0493, 293.64131
    0.0494,  293.6423
    0.0495,  293.6433
    0.0496, 293.64429
    0.0497, 293.64528
    0.0498, 293.64628
    0.0499, 293.64727
      0.05, 293.64826
    0.0501, 293.64926
    0.0502, 293.65025
    0.0503, 293.65124
    0.0504, 293.65224
    0.0505, 293.65323
    0.0506, 293.65422
    0.0507, 293.65521
    0.0508, 293.65621
    0.0509,  293.6572
     0.051, 293.65819
    0.0511, 293.65919
    0.0512, 293.66018
    0.0513, 293.66117
    0.0514, 293.66217
    0.0515, 293.66316
    0.0516, 293.66415
    0.0517, 293.66514
    0.0518, 293.66614
    0.0519, 293.66713
     0.052, 293.66812
    0.0521, 293.66911
    0.0522, 293.67011
    0.0523,  293.6711
    0.0524, 293.67209
    0.0525, 293.67309
    0.0526, 293.67408
    0.0527, 293.67507
    0.0528, 293.67606
    0.0529, 293.67706
     0.053, 293.67805
    0.0531, 293.67904
    0.0532, 293.68003
    0.0533, 293.68103
    0.0534, 293.68202
    0.0535, 293.68301
    0.0536,   293.684
    0.0537,   293.685
    0.0538, 293.68599
    0.0539, 293.68698
     0.054, 293.68798
    0.0541, 293.68897
    0.0542, 293.68996
    0.0543, 293.69095
    0.0544, 293.69194
    0.0545, 293.69294
    0.0546, 293.69393
    0.0547, 293.69492
    0.0548, 293.69591
    0.0549, 293.69691
     0.055,  293.6979
    0.0551, 293.69889
    0.0552, 293.69988
    0.0553, 293.70088
    0.0554, 293.70187
    0.0555, 293.70286
    0.0556, 293.70385
    0.0557, 293.70485
    0.0558, 293.70584
    0.0559, 293.70683
     0.056, 293.70782
    0.0561, 293.70881
    0.0562, 293.70981
    0.0563,  293.7108
    0.0564, 293.71179
    0.0565, 293.71278
    0.0566, 293.71378
    0.0567, 293.71477
    0.0568, 293.71576
    0.0569, 293.71675
     0.057, 293.71774
    0.0571, 293.71874
    0.0572, 293.71973
    0.0573, 293.72072
    0.0574, 293.72171
    0.0575,  293.7227
    0.0576,  293.7237
    0.0577, 293.72469
    0.0578, 293.72568
    0.0579, 293.72667
     0.058, 293.72766
